"","TIME_PERIOD","MEASURE","MEASURE_label.en.label","INDEX","INDEX_label.en","TSEST","TSEST_label.en.label","REGION","REGION_label.en.label","FREQ","FREQ_label.en.label","obsValue","UNIT_MEASURE","UNIT_MEASURE_label.en","OBS_STATUS","OBS_STATUS_label.en"
"31","2020-Q3","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",11.3,"PCT","Percent",NA,NA
"32","2020-Q4","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",3.7,"PCT","Percent",NA,NA
"33","2021-Q1","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"34","2021-Q2","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.6,"PCT","Percent",NA,NA
"35","2021-Q3","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.8,"PCT","Percent",NA,NA
"36","2021-Q4","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.4,"PCT","Percent",NA,NA
"1978","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.1,"PCT","Percent",NA,NA
"1858","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.5,"PCT","Percent",NA,NA
"1859","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.7,"PCT","Percent",NA,NA
"1860","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent",NA,NA
"1617","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.9,"PCT","Percent",NA,NA
"1559","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","40010","Lamb and goat","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.3,"PCT","Percent",NA,NA
"43","2020-Q3","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.3,"PCT","Percent",NA,NA
"44","2020-Q4","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"45","2021-Q1","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent",NA,NA
"46","2021-Q2","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1,"PCT","Percent",NA,NA
"47","2021-Q3","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-2.4,"PCT","Percent",NA,NA
"48","2021-Q4","2","Percentage Change from Previous Period","131194","Deposit and loan facilities (direct charges)","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.5,"PCT","Percent",NA,NA
"1759","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.9,"PCT","Percent",NA,NA
"1678","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent",NA,NA
